vitamin c	Ascorbic Acid
l-ascorbic acid	Ascorbic Acid
sulfated fucans	fucoidan 
glucomannan	Glucomannan
soluble beta-glucans	beta-Glucans
cellulose	Cellulose
mannan	Mannans
xylan	Xylans
xyloglucan	xyloglucan
chitin	Chitin
beta-1,3-glucan	beta-1,3-glucan
beta-1,3-1,4-glucan	beta-1,3-1,4-glucan
beta-(1,3)(1,4)-glucans	beta-1,3-1,4-glucan
beta-1,6-glucan	beta-1,6-glucan 
amorphous cellulose	
beta-1,4-glucan	beta-1,4-glucan 
avicel	Cellulose
cellooligosaccharides	
beta-1,3-1,4-mixed linked glucans	
mannose	Mannose
galnac	N-Acetylgalactosamine 
xylooligosaccharides	
starch	Starch
cyclodextrins	Cyclodextrins
alpha-1,3-glucan	alpha-1,3-glucan 	
beta-1,3-xylan	beta-1,3-xylan 
galactose	Galactose
lactose	Lactose
polygalacturonic acid	polygalacturonic acid 
beta-galactan	beta-galactan
inulin	Inulin
lipopolysaccharide	Lipopolysaccharides
lipoteichoic acid	lipoteichoic acid
alpha-glucans	alpha-glucans
arabinofuranose	arabinofuranose 
cellulose, xyloglucan	
fucose	Fucose
glycogen	Glycogen
peptidoglycan	Peptidoglycan
maltose	Maltose
arabinogalactan	arabinogalactan
galactomannan	galactomannan 
fructans	Fructans
l-rhamnose	L-rhamnose 
maltotetraose	maltotetraose
hyaluronan	Hyaluronic Acid
lacnac	N-acetyl-lactosamine 
glycoside hydrolases	Glycoside Hydrolases
polysaccharides	Polysaccharides
beta-glucans	beta-Glucans	
pectin	Pectins
beta-1,4-glucans	beta-1,4-glucan
beta-glycans	beta-glycans
xanthan	xanthan gum 
galactosaminogalactan	galactosaminogalactan 
ulvan	ulvan
soluble β-glucans	beta-Glucans
β-galactosidase	beta-Galactosidase
β-endogalactanase	arabinogalactan endo-1,4-beta-galactosidase 
arabinan	araban 
soluble β-glucans	beta-Glucans
soluble β-glucans	beta-Glucans
